Promotion ID,Promotion Name,Category,Eligible Cards,Validity Period,Key Details
PR-01,AEON THEATRE AND AEON LOUNGE AT QUARTIER CINEART,Entertainment,"AEON Royal Orchid Plus, Gold, Classic, J-Premier Platinum, Club Thailand","Oct 1, 2024 – Sep 30, 2025","50% off movie tickets, bucket sets; lounge access; discounts on F&B"
PR-02,BIC CAMERA Coupon with Aeon Credit Card,Shopping,All AEON Credit Cards (except Corporate),"Sep 1, 2024 – Aug 31, 2025","Tax-free shopping up to 10%, discount up to 7% at BicCamera Japan"
PR-03,Travel Smart Insurance,Insurance,"Digital YourCash, AEON Credit Cards","Oct 9, 2024 onwards",Insurance plans via AEON Mobile App
PR-04,MSIG SAFE GUARD EASY SELECT,Insurance,"Digital YourCash, AEON Credit Cards","Oct 9, 2024 onwards",Car insurance plans via AEON Mobile App
PR-05,MSIG CANCER FIX,Insurance,"Digital YourCash, AEON Credit Cards","Oct 9, 2024 onwards",Cancer insurance plans via AEON Mobile App
PR-06,MSIG Trip Easy Plus,Insurance,"Digital YourCash, AEON Credit Cards","Oct 9, 2024 onwards",Domestic travel insurance via AEON Mobile App
PR-07,MSIG Travel Easy Plus,Insurance,"Digital YourCash, AEON Credit Cards","Oct 9, 2024 onwards",International travel insurance via AEON Mobile App
PR-08,Max Out Your Shopping,"Shopping, Dining",All AEON Credit Cards (except Corporate),"Sep 1, 2024 – Aug 31, 2025",Redeem AEON Happy Points for e-Coupons at various merchants
PR-09,Colorful Journey with AEON ROP,Travel,"AEON Royal Orchid Plus World Mastercard, Platinum","Mar 11, 2025 – May 10, 2025",Earn bonus ROP miles for spending worldwide
PR-10,AEON JCB Japan 10% Cashback 2025,Shopping,"AEON Royal Orchid Plus JCB Platinum, Gold, Classic, J-Premier Platinum, Club Thailand JCB","Mar 11, 2025 – May 10, 2025","1,000 Baht cashback for spending in Japan"
PR-11,ผ่อน iPhone 16 ทุกรุ่น,Electronics,"Digital YourCash, AEON Credit Cards","Apr 1, 2025 – Jun 30, 2025",0% for 10 months or 0.29% for 18 months at participating stores
PR-12,ผ่อนทองกับอิออน,Shopping,"YourCash, Digital YourCash, AEON Credit Cards",Mar 2025 – Dec 2025 (every 1st-10th),0% up to 12 months or 0.25% for 15 months at participating gold shops
PR-13,"รับส่วนลด 1,500 บาท เมื่อผ่อนสินค้าออนไลน์กับอิออน ที่ SHOPEE Application",Shopping,"Digital YourCash, AEON Credit Cards","May 1, 2025 – May 31, 2025","1,500 Baht discount on installment purchases on Shopee"
PR-14,ผ่อนมือถือทุกรุ่น,Electronics,"Digital YourCash, AEON Credit Cards","Mar 1, 2025 – Feb 28, 2026",0% for 4 months or 0.69% for 15 months at True Shop
PR-15,ผ่อนเครื่องใช้ไฟฟ้าทุกชิ้น,Electronics,"Digital YourCash, AEON Credit Cards","Mar 1, 2025 – Feb 28, 2026",0% for 4 months or 0.59% up to 48 months at Power Buy & Go! Power
PR-16,ต้องการเงินสดทะเบียนรถช่วยได้,Financial Service,-,"Mar 1, 2025 – Feb 28, 2026",Special interest rate for car registration loan
PR-17,ลูกค้าอิออนสามารถซื้อประกันได้แล้วที่สาขาอิออนและบิ๊กแคร์เคาน์เตอร์,Insurance,-,"Apr 1, 2025 onwards",Purchase insurance at AEON branches and Big C counters
PR-18,เลือกซื้อประกันออนไลน์กับอิออน,Insurance,"Digital YourCash, AEON Credit Cards","Apr 1, 2025 onwards",Purchase insurance online via AEON THAI MOBILE App
PR-19,มั่นใจทุกจังหวะชีวิต ผ่อนประกันออนไลน์กับอิออน,Insurance,"Digital YourCash, AEON Credit Cards","Mar 1, 2023 onwards",0% interest for up to 10 months on online insurance
PR-20,ช้อปสนุก สุดทุกดีล,Shopping,All AEON Credit Cards (except Corporate),"Apr 24, 2025 – Sep 30, 2025","Receive cash coupon for spending at Emporium, EmQuartier, EmSphere"
PR-21,ส่วนลดวันหยุดสุดพิเศษจาก Japan Airlines,Travel,AEON J-Premier Platinum Card,"Mar 15, 2025 – Jul 15, 2025","1,000 Baht discount on JALPAK tour packages"
PR-22,รับสิทธิพิเศษ ณ Siam Amazing Park,Entertainment,All AEON Credit Cards (except Corporate),"Mar 1, 2025 – May 31, 2025",Discounted tickets to Siam Amazing Park
PR-23,รับโค้ดส่วนลด MaxValu,Shopping,"AEON Credit Cards (excluding ROP, Big C, Corporate)","Mar 1, 2025 – Feb 28, 2026",Redeem AEON Happy Points for MaxValu e-Coupon
PR-24,ราเมน คาเก็ตสึ อาราชิ,Dining,"AEON Credit Cards (excluding ROP, Big C, Corporate)","Jan 1, 2025 – Jan 31, 2026",Redeem AEON Happy Points for e-Voucher or get discount
PR-25,ชาบูตง ราเมน,Dining,"AEON Credit Cards (excluding ROP, Big C, Corporate)","Jan 1, 2025 – Jan 31, 2026",Redeem AEON Happy Points for e-Voucher or get discount
PR-26,เปปเปอร์ ลันช์,Dining,"AEON Credit Cards (excluding ROP, Big C, Corporate)","Jan 1, 2025 – Jan 31, 2026",Redeem AEON Happy Points for e-Voucher or get discount
PR-27,คัตสึยะ,Dining,"AEON Credit Cards (excluding ROP, Big C, Corporate)","Jan 1, 2025 – Dec 31, 2025",Redeem AEON Happy Points for e-Voucher or get discount
PR-28,AMOR,Dining,"AEON Credit Cards (excluding ROP, Big C, Corporate)","Jan 1, 2025 – Dec 31, 2025",Redeem AEON Happy Points for e-Voucher
PR-29,DON,Dining,"AEON Credit Cards (excluding ROP, Big C, Corporate)","Jan 1, 2025 – Dec 31, 2025",Redeem AEON Happy Points for e-Voucher
PR-30,Sushi Den,Dining,"AEON Credit Cards (excluding ROP, Big C, Corporate)","Jan 1, 2025 – Dec 31, 2025",Redeem AEON Happy Points for e-Voucher
PR-31,โยชิโนยะ,Dining,"AEON Credit Cards (excluding ROP, Big C, Corporate)","Jan 1, 2025 – Jun 30, 2025",Redeem AEON Happy Points for e-Voucher or get discount
PR-32,โบกึล โบกริล,Dining,"AEON Credit Cards (excluding ROP, Big C, Corporate)","Jan 1, 2025 – Dec 31, 2025",Redeem AEON Happy Points for e-Voucher
PR-33,Sukishi,Dining,"AEON Credit Cards (excluding ROP, Big C, Corporate)","Jan 1, 2025 – Dec 31, 2025",Redeem AEON Happy Points for e-Voucher
PR-34,มิสเตอร์ โดนัท,Dining,"AEON Credit Cards (excluding ROP, Big C, Corporate)","Jan 1, 2025 – Dec 31, 2025",Redeem AEON Happy Points for e-Voucher or get special price
PR-35,อานตี้ แอนส์,Dining,"AEON Credit Cards (excluding ROP, Big C, Corporate)","Jan 1, 2025 – Dec 31, 2025",Redeem AEON Happy Points for e-Voucher or get discount
PR-36,โคล สโตน ครีมเมอรี่,Dining,"AEON Credit Cards (excluding ROP, Big C, Corporate)","Jan 1, 2025 – Dec 31, 2025",Redeem AEON Happy Points for e-Voucher or get discount
